epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,44644.2,1.25297,0.9053,1.0064,0.72701,0.45689,0.51865,0.32467,1.16206,0.8102,0.96431,0.002575,0.002575,0.002575
77,45197.1,1.24987,0.90177,1.0048,0.63268,0.45872,0.51937,0.32513,1.16143,0.80944,0.96402,0.002476,0.002476,0.002476
78,45750,1.24983,0.89965,1.00347,0.6372,0.45633,0.51987,0.32548,1.16071,0.80837,0.9637,0.002377,0.002377,0.002377
79,46303.8,1.24757,0.89852,1.00395,0.64121,0.4554,0.521,0.32605,1.15998,0.80761,0.96342,0.002278,0.002278,0.002278
80,46857.3,1.24409,0.89509,1.00167,0.63926,0.45689,0.52126,0.32665,1.15928,0.8069,0.96312,0.002179,0.002179,0.002179
81,47412,1.24299,0.89233,1.00129,0.63809,0.45749,0.52186,0.32714,1.15834,0.80589,0.96276,0.00208,0.00208,0.00208
82,47967.9,1.23989,0.88789,1.00026,0.6372,0.45851,0.52262,0.3277,1.1575,0.80505,0.96241,0.001981,0.001981,0.001981
83,48522.6,1.23592,0.88501,1.00051,0.63797,0.459,0.52297,0.32809,1.15659,0.80409,0.96208,0.001882,0.001882,0.001882
84,49077.6,1.23365,0.88198,0.99851,0.63707,0.46034,0.52387,0.32866,1.15618,0.80353,0.96182,0.001783,0.001783,0.001783
85,49631.6,1.232,0.87978,0.9978,0.63935,0.46027,0.52417,0.32908,1.15565,0.80296,0.96156,0.001684,0.001684,0.001684
86,50185.7,1.22898,0.87742,0.99616,0.63853,0.46163,0.5253,0.32962,1.15527,0.8023,0.96132,0.001585,0.001585,0.001585
87,50741.3,1.2255,0.87384,0.99502,0.66209,0.46348,0.5258,0.33,1.15463,0.80174,0.96103,0.001486,0.001486,0.001486
88,51295.5,1.22328,0.87257,0.99404,0.66522,0.46148,0.52619,0.33039,1.15403,0.80092,0.96069,0.001387,0.001387,0.001387
89,51850.5,1.2196,0.86671,0.99332,0.66114,0.46228,0.52707,0.33066,1.15364,0.80035,0.96037,0.001288,0.001288,0.001288
90,52405,1.21765,0.86429,0.99227,0.66939,0.46273,0.52768,0.33113,1.15314,0.79955,0.9601,0.001189,0.001189,0.001189
91,52975.2,1.21561,0.84848,0.99175,0.67397,0.46344,0.52758,0.33133,1.15275,0.79889,0.95993,0.00109,0.00109,0.00109
92,53509.8,1.21018,0.84116,0.98886,0.67348,0.46342,0.5281,0.33168,1.15253,0.79844,0.95973,0.000991,0.000991,0.000991
93,54044.3,1.20587,0.83545,0.98753,0.67123,0.46435,0.52875,0.3321,1.1522,0.79779,0.9595,0.000892,0.000892,0.000892
94,54578.6,1.20117,0.82944,0.98593,0.67913,0.46319,0.52912,0.33238,1.15198,0.79724,0.95928,0.000793,0.000793,0.000793
95,55112.2,1.19766,0.8259,0.98394,0.6766,0.46452,0.52929,0.33259,1.15161,0.79676,0.95905,0.000694,0.000694,0.000694
96,55646.2,1.19235,0.82022,0.98276,0.67919,0.46445,0.52969,0.33295,1.15124,0.79621,0.95878,0.000595,0.000595,0.000595
97,56180.7,1.18996,0.81684,0.98187,0.6774,0.46511,0.53019,0.3333,1.15095,0.79565,0.95859,0.000496,0.000496,0.000496
98,56714.9,1.18512,0.81105,0.9798,0.67636,0.46557,0.53053,0.33352,1.15082,0.79508,0.95836,0.000397,0.000397,0.000397
99,57249.3,1.17933,0.80576,0.97822,0.67733,0.46584,0.53075,0.33368,1.15069,0.79447,0.95817,0.000298,0.000298,0.000298
100,57783.5,1.17423,0.80326,0.97616,0.68078,0.46629,0.53104,0.33378,1.15056,0.7939,0.95804,0.000199,0.000199,0.000199
